year,county,sex,race,deaths
2010,Noble,Male,More than one race,0.0
2010,Nowata,Male,White,0.0
2010,Nowata,Male,Black or African American,0.0
2010,Nowata,Male,American Indian or Alaska Native,0.0
2010,Nowata,Male,Asian,0.0
2010,Nowata,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Nowata,Male,Other,0.0
2010,Nowata,Male,Unknown,0.0
2010,Nowata,Male,More than one race,0.0
2010,Okfuskee,Male,White,6.0
2010,Okfuskee,Male,Black or African American,0.0
2010,Okfuskee,Male,American Indian or Alaska Native,0.0
2010,Okfuskee,Male,Asian,0.0
2010,Okfuskee,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Okfuskee,Male,Other,0.0
2010,Okfuskee,Male,Unknown,0.0
2010,Okfuskee,Male,More than one race,0.0
2010,Oklahoma,Male,White,275.0
2010,Oklahoma,Male,Black or African American,95.0
2010,Oklahoma,Male,American Indian or Alaska Native,20.0
2010,Oklahoma,Male,Asian,8.0
2010,Oklahoma,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Oklahoma,Male,Other,21.0
2010,Oklahoma,Male,Unknown,0.0
2010,Oklahoma,Male,More than one race,0.0
2010,Okmulgee,Male,White,13.0
2010,Okmulgee,Male,Black or African American,0.0
2010,Okmulgee,Male,American Indian or Alaska Native,8.0
2010,Okmulgee,Male,Asian,0.0
2010,Okmulgee,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Okmulgee,Male,Other,0.0
2010,Okmulgee,Male,Unknown,0.0
2010,Okmulgee,Male,More than one race,0.0
2010,Osage,Male,White,22.0
2010,Osage,Male,Black or African American,0.0
2010,Osage,Male,American Indian or Alaska Native,0.0
2010,Osage,Male,Asian,0.0
2010,Osage,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Osage,Male,Other,0.0
2010,Osage,Male,Unknown,0.0
2010,Osage,Male,More than one race,0.0
2010,Ottawa,Male,White,15.0
2010,Ottawa,Male,Black or African American,0.0
2010,Ottawa,Male,American Indian or Alaska Native,8.0
2010,Ottawa,Male,Asian,0.0
2010,Ottawa,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Ottawa,Male,Other,0.0
2010,Ottawa,Male,Unknown,0.0
2010,Ottawa,Male,More than one race,0.0
2010,Pawnee,Male,White,11.0
2010,Pawnee,Male,Black or African American,0.0
2010,Pawnee,Male,American Indian or Alaska Native,0.0
2010,Pawnee,Male,Asian,0.0
2010,Pawnee,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Pawnee,Male,Other,0.0
2010,Pawnee,Male,Unknown,0.0
2010,Pawnee,Male,More than one race,0.0
2010,Payne,Male,White,24.0
2010,Payne,Male,Black or African American,0.0
2010,Payne,Male,American Indian or Alaska Native,0.0
2010,Payne,Male,Asian,0.0
2010,Payne,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Payne,Male,Other,0.0
2010,Payne,Male,Unknown,0.0
2010,Payne,Male,More than one race,0.0
2010,Pittsburg,Male,White,29.0
2010,Pittsburg,Male,Black or African American,0.0
2010,Pittsburg,Male,American Indian or Alaska Native,5.0
2010,Pittsburg,Male,Asian,0.0
2010,Pittsburg,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Pittsburg,Male,Other,0.0
2010,Pittsburg,Male,Unknown,0.0
2010,Pittsburg,Male,More than one race,0.0
2010,Pontotoc,Male,White,24.0
2010,Pontotoc,Male,Black or African American,0.0
2010,Pontotoc,Male,American Indian or Alaska Native,7.0
2010,Pontotoc,Male,Asian,0.0
2010,Pontotoc,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Pontotoc,Male,Other,0.0
2010,Pontotoc,Male,Unknown,0.0
2010,Pontotoc,Male,More than one race,0.0
2010,Pottawatomie,Male,White,39.0
2010,Pottawatomie,Male,Black or African American,0.0
2010,Pottawatomie,Male,American Indian or Alaska Native,13.0
2010,Pottawatomie,Male,Asian,0.0
2010,Pottawatomie,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Pottawatomie,Male,Other,0.0
2010,Pottawatomie,Male,Unknown,0.0
2010,Pottawatomie,Male,More than one race,0.0
2010,Pushmataha,Male,White,8.0
2010,Pushmataha,Male,Black or African American,0.0
2010,Pushmataha,Male,American Indian or Alaska Native,0.0
2010,Pushmataha,Male,Asian,0.0
2010,Pushmataha,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Pushmataha,Male,Other,0.0
2010,Pushmataha,Male,Unknown,0.0
2010,Pushmataha,Male,More than one race,0.0
2010,Roger Mills,Male,White,0.0
2010,Roger Mills,Male,Black or African American,0.0
2010,Roger Mills,Male,American Indian or Alaska Native,0.0
2010,Roger Mills,Male,Asian,0.0
2010,Roger Mills,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Roger Mills,Male,Other,0.0
2010,Roger Mills,Male,Unknown,0.0
2010,Roger Mills,Male,More than one race,0.0
2010,Rogers,Male,White,42.0
2010,Rogers,Male,Black or African American,0.0
2010,Rogers,Male,American Indian or Alaska Native,6.0
2010,Rogers,Male,Asian,0.0
2010,Rogers,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Rogers,Male,Other,0.0
2010,Rogers,Male,Unknown,0.0
2010,Rogers,Male,More than one race,0.0
2010,Seminole,Male,White,14.0
2010,Seminole,Male,Black or African American,0.0
2010,Seminole,Male,American Indian or Alaska Native,12.0
