"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"Garvin","10-14 years",".",1885,"."
,"15-17 years",8,1278,6.3
,"18-19 years",13,565,23.0
,"20-24 years",117,1498,78.1
,"25-29 years",97,1457,66.6
,"30-34 years",62,1611,38.5
,"35-39 years",22,1582,13.9
,"40-44 years",11,1747,6.3
"Grady","10-14 years",".",4051,"."
,"15-17 years",9,2654,3.4
,"18-19 years",21,1520,13.8
,"20-24 years",150,3551,42.2
,"25-29 years",193,3211,60.1
,"30-34 years",120,3532,34.0
,"35-39 years",36,3750,9.6
,"40-44 years",11,4121,2.7
,"45-54 years",".",7077,"."
"Grant","20-24 years",9,190,47.4
,"25-29 years",12,179,67.0
,"30-34 years",9,232,38.8
,"35-39 years",".",242,"."
,"40-44 years",".",260,"."
"Greer","15-17 years",".",191,"."
,"18-19 years",".",109,"."
,"20-24 years",20,355,56.3
,"25-29 years",14,394,35.5
,"30-34 years",11,392,28.1
,"35-39 years",5,405,12.3
,"40-44 years",".",380,"."
"Harmon","10-14 years",".",191,"."
,"15-17 years",".",125,"."
,"18-19 years",5,66,75.8
,"20-24 years",6,132,45.5
,"25-29 years",11,119,92.4
,"30-34 years",".",116,"."
,"35-39 years",".",129,"."
,"40-44 years",".",150,"."
"Harper","18-19 years",".",70,"."
,"20-24 years",".",146,"."
,"25-29 years",11,127,86.6
,"30-34 years",9,190,47.4
,"35-39 years",7,218,32.1
"Haskell","10-14 years",".",805,"."
,"15-17 years",".",518,"."
,"18-19 years",7,255,27.5
,"20-24 years",44,638,69.0
,"25-29 years",40,654,61.2
,"30-34 years",24,710,33.8
,"35-39 years",11,682,16.1
,"40-44 years",".",746,"."
"Hughes","15-17 years",".",484,"."
,"18-19 years",11,283,38.9
,"20-24 years",49,832,58.9
,"25-29 years",53,1030,51.5
,"30-34 years",30,1002,29.9
,"35-39 years",8,883,9.1
,"40-44 years",".",847,"."
"Jackson","15-17 years",5,977,5.1
,"18-19 years",16,588,27.2
,"20-24 years",117,1917,61.0
,"25-29 years",110,1749,62.9
,"30-34 years",72,1780,40.4
,"35-39 years",35,1707,20.5
,"40-44 years",7,1421,4.9
,"45-54 years",".",2563,"."
"Jefferson","15-17 years",".",269,"."
,"18-19 years",5,114,43.9
,"20-24 years",28,269,104.1
,"25-29 years",24,252,95.2
,"30-34 years",12,316,38.0
,"35-39 years",9,328,27.4
,"40-44 years",".",294,"."
"Johnston","15-17 years",".",436,"."
,"18-19 years",6,442,13.6
,"20-24 years",39,683,57.1
,"25-29 years",29,530,54.7
,"30-34 years",14,635,22.0
,"35-39 years",7,612,11.4
,"40-44 years",5,576,8.7
"Kay","10-14 years",".",3183,"."
,"15-17 years",13,1964,6.6
,"18-19 years",27,1190,22.7
,"20-24 years",164,2698,60.8
,"25-29 years",161,2546,63.2
,"30-34 years",115,2835,40.6
,"35-39 years",39,2484,15.7
,"40-44 years",5,2655,1.9
"Kingfisher","15-17 years",".",789,"."
,"18-19 years",7,380,18.4
,"20-24 years",42,941,44.6
,"25-29 years",49,835,58.7
,"30-34 years",31,1007,30.8
,"35-39 years",16,978,16.4
,"40-44 years",7,1046,6.7
,"45-54 years",".",1735,"."
"Kiowa","15-17 years",".",352,"."
,"18-19 years",9,190,47.4
,"20-24 years",22,443,49.7
,"25-29 years",32,422,75.8
,"30-34 years",14,476,29.4
,"35-39 years",".",452,"."
"Latimer","18-19 years",".",253,"."
,"20-24 years",41,604,67.9
,"25-29 years",44,519,84.8
,"30-34 years",16,547,29.3
,"35-39 years",11,503,21.9
,"40-44 years",".",597,"."
"Le Flore","15-17 years",13,2259,5.8
,"18-19 years",38,1224,31.0
,"20-24 years",187,2964,63.1
,"25-29 years",187,3038,61.6
,"30-34 years",127,3147,40.4
,"35-39 years",54,2991,18.1
,"40-44 years",9,3160,2.8
"Lincoln","15-17 years",".",1498,"."
,"18-19 years",24,737,32.6
,"20-24 years",113,1879,60.1
,"25-29 years",100,1883,53.1
,"30-34 years",81,2156,37.6
,"35-39 years",24,2029,11.8
,"40-44 years",6,2177,2.8
"Logan","15-17 years",6,2290,2.6
,"18-19 years",18,1931,9.3
,"20-24 years",117,3318,35.3
,"25-29 years",178,2720,65.4
,"30-34 years",158,3110,50.8
,"35-39 years",82,3559,23.0
,"40-44 years",18,3770,4.8
,"45-54 years",".",6661,"."
"Love","15-17 years",".",445,"."
,"18-19 years",9,244,36.9
,"20-24 years",33,584,56.5
,"25-29 years",44,618,71.2
,"30-34 years",28,631,44.4
,"35-39 years",13,672,19.3
,"40-44 years",".",648,"."
"McClain","10-14 years",".",3557,"."
,"15-17 years",".",2247,"."
,"18-19 years",10,1083,9.2
,"20-24 years",132,2574,51.3
,"25-29 years",170,2746,61.9
,"30-34 years",142,2984,47.6
,"35-39 years",55,3323,16.6
,"40-44 years",10,3457,2.9
"McCurtain","15-17 years",12,1408,8.5
,"18-19 years",25,703,35.6
,"20-24 years",142,1791,79.3
,"25-29 years",130,1852,70.2
,"30-34 years",78,2064,37.8
,"35-39 years",22,1766,12.5
,"40-44 years",".",1803,"."
,"Unknown Age",".",".","."
"McIntosh","15-17 years",6,729,8.2
,"18-19 years",11,401,27.4
,"20-24 years",53,965,54.9
,"25-29 years",68,958,71.0
,"30-34 years",36,1015,35.5
,"35-39 years",16,1019,15.7
,"40-44 years",8,1083,7.4
"Major","15-17 years",".",352,"."
,"18-19 years",".",173,"."
,"20-24 years",23,391,58.8
,"25-29 years",41,384,106.8
,"30-34 years",14,382,36.6
,"35-39 years",6,408,14.7
,"40-44 years",".",497,"."
,"45-54 years",".",831,"."
"Marshall","15-17 years",".",700,"."
,"18-19 years",13,326,39.9
,"20-24 years",55,873,63.0
,"25-29 years",66,823,80.2
,"30-34 years",35,872,40.1
,"35-39 years",11,855,12.9
,"40-44 years",".",910,"."
"Mayes","15-17 years",12,1760,6.8
,"18-19 years",26,816,31.9
,"20-24 years",132,2242,58.9
,"25-29 years",149,2484,60.0
,"30-34 years",90,2531,35.6
,"35-39 years",36,2340,15.4
,"40-44 years",".",2509,"."
"Murray","15-17 years",".",607,"."
,"18-19 years",8,297,26.9
,"20-24 years",56,771,72.6
,"25-29 years",46,725,63.4
,"30-34 years",26,738,35.2
,"35-39 years",15,808,18.6
"Muskogee","15-17 years",12,2887,4.2
,"18-19 years",51,1814,28.1
,"20-24 years",247,4337,57.0
,"25-29 years",261,4315,60.5
,"30-34 years",162,4251,38.1
,"35-39 years",68,4280,15.9
,"40-44 years",11,4423,2.5
,"45-54 years",".",7761,"."
,"Unknown Age",".",".","."
"Noble","15-17 years",".",462,"."
,"18-19 years",".",233,"."
,"20-24 years",25,577,43.3
,"25-29 years",28,573,48.9
,"30-34 years",21,612,34.3
,"35-39 years",8,641,12.5
,"40-44 years",".",693,"."
"Nowata","15-17 years",".",393,"."
,"18-19 years",6,188,31.9
,"20-24 years",35,478,73.2
,"25-29 years",31,492,63.0
,"30-34 years",16,605,26.4
,"35-39 years",8,600,13.3
,"40-44 years",".",556,"."
"Okfuskee","15-17 years",7,463,15.1
,"18-19 years",7,248,28.2
,"20-24 years",42,605,69.4
,"25-29 years",42,709,59.2
,"30-34 years",28,748,37.4
,"35-39 years",9,676,13.3
,"40-44 years",".",767,"."
"Oklahoma","10-14 years",5,57109,0.1
,"15-17 years",164,35176,4.7
,"18-19 years",439,20891,21.0
,"20-24 years",2434,55536,43.8
,"25-29 years",3245,59589,54.5
,"30-34 years",2860,59829,47.8
,"35-39 years",1446,57202,25.3
,"40-44 years",317,53971,5.9
,"45-54 years",10,90568,0.1
,"Unknown Age",".",".","."
"Okmulgee","15-17 years",6,1553,3.9
,"18-19 years",22,1042,21.1
,"20-24 years",142,2436,58.3
,"25-29 years",111,2221,50.0
,"30-34 years",97,2441,39.7
,"35-39 years",41,2144,19.1
,"40-44 years",5,2316,2.2
"Osage","15-17 years",".",1877,"."
,"18-19 years",18,951,18.9
,"20-24 years",113,2519,44.9
,"25-29 years",123,2521,48.8
,"30-34 years",97,2837,34.2
,"35-39 years",47,2723,17.3
,"40-44 years",8,2912,2.7
"Ottawa","15-17 years",8,1348,5.9
,"18-19 years",24,990,24.2
,"20-24 years",124,2024,61.3
,"25-29 years",100,1767,56.6
,"30-34 years",92,1962,46.9
,"35-39 years",25,1691,14.8
,"40-44 years",".",1721,"."
"Pawnee","15-17 years",".",734,"."
,"18-19 years",12,335,35.8
,"20-24 years",33,849,38.9
,"25-29 years",54,859,62.9
,"30-34 years",37,945,39.2
,"35-39 years",11,931,11.8
,"40-44 years",".",985,"."
,"45-54 years",".",1953,"."
"Payne","15-17 years",12,2719,4.4
,"18-19 years",27,5781,4.7
,"20-24 years",196,16903,11.6
,"25-29 years",215,6049,35.5
,"30-34 years",174,4952,35.1
,"35-39 years",88,4413,19.9
,"40-44 years",24,4476,5.4
,"45-54 years",".",7263,"."
"Pittsburg","15-17 years",".",1854,"."
,"18-19 years",26,1024,25.4
,"20-24 years",121,2329,52.0
,"25-29 years",143,2626,54.5
,"30-34 years",88,2792,31.5
,"35-39 years",33,2703,12.2
,"40-44 years",9,2795,3.2
"Pontotoc","15-17 years",6,1631,3.7
,"18-19 years",29,892,32.5
,"20-24 years",139,2550,54.5
,"25-29 years",142,2366,60.0
,"30-34 years",114,2676,42.6
,"35-39 years",33,2548,13.0
,"40-44 years",9,2409,3.7
"Pottawatomie","15-17 years",10,3098,3.2
,"18-19 years",37,2195,16.9
,"20-24 years",235,5131,45.8
,"25-29 years",289,4596,62.9
,"30-34 years",181,4756,38.1
,"35-39 years",60,4617,13.0
,"40-44 years",13,4883,2.7
"Pushmataha","10-14 years",".",689,"."
,"15-17 years",".",457,"."
,"18-19 years",7,239,29.3
,"20-24 years",36,522,69.0
,"25-29 years",31,566,54.8
,"30-34 years",19,610,31.1
,"35-39 years",".",614,"."
,"40-44 years",".",650,"."
,"45-54 years",".",1189,"."
"Roger Mills","15-17 years",".",169,"."
,"18-19 years",".",81,"."
,"20-24 years",10,170,58.8
,"25-29 years",10,154,64.9
,"30-34 years",9,167,53.9
,"35-39 years",".",180,"."
,"40-44 years",".",231,"."
"Rogers","15-17 years",10,4353,2.3
,"18-19 years",33,2290,14.4
,"20-24 years",234,6059,38.6
,"25-29 years",392,6067,64.6
,"30-34 years",256,6617,38.7
,"35-39 years",107,6368,16.8
,"40-44 years",25,6409,3.9
,"45-54 years",".",12220,"."
,"Unknown Age",".",".","."
"Seminole","10-14 years",".",1691,"."
,"15-17 years",".",1043,"."
,"18-19 years",23,718,32.0
,"20-24 years",94,1529,61.5
,"25-29 years",94,1335,70.4
,"30-34 years",58,1337,43.4
,"35-39 years",24,1335,18.0
,"40-44 years",6,1520,3.9
"Sequoyah","10-14 years",".",2668,"."
,"15-17 years",10,1716,5.8
,"18-19 years",33,883,37.4
,"20-24 years",168,2271,74.0
,"25-29 years",166,2454,67.6
,"30-34 years",92,2492,36.9
,"35-39 years",35,2326,15.0
,"40-44 years",".",2315,"."
"Stephens","15-17 years",13,1869,7.0
,"18-19 years",37,982,37.7
,"20-24 years",151,2351,64.2
,"25-29 years",157,2364,66.4
,"30-34 years",101,2743,36.8
,"35-39 years",41,2676,15.3
,"40-44 years",10,2784,3.6
"Texas","15-17 years",8,979,8.2
,"18-19 years",13,643,20.2
,"20-24 years",79,1516,52.1
,"25-29 years",83,1264,65.7
,"30-34 years",75,1355,55.4
,"35-39 years",28,1277,21.9
,"40-44 years",9,1342,6.7
,"Unknown Age",".",".","."
"Tillman","10-14 years",".",520,"."
,"15-17 years",".",308,"."
,"18-19 years",7,173,40.5
,"20-24 years",17,357,47.6
,"25-29 years",19,347,54.8
,"30-34 years",20,400,50.0
,"35-39 years",13,376,34.6
,"40-44 years",".",400,"."
"Tulsa","10-14 years",".",48045,"."
,"15-17 years",141,30158,4.7
,"18-19 years",357,17703,20.2
,"20-24 years",1769,45069,39.3
,"25-29 years",2470,47053,52.5
,"30-34 years",2365,49961,47.3
,"35-39 years",1234,47384,26.0
,"40-44 years",225,45747,4.9
,"45-54 years",15,79187,0.2
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",6275,"."
,"15-17 years",".",3863,"."
,"18-19 years",29,1892,15.3
,"20-24 years",172,4843,35.5
,"25-29 years",336,5519,60.9
,"30-34 years",262,6264,41.8
,"35-39 years",102,6280,16.2
,"40-44 years",24,6222,3.9
,"45-54 years",".",10925,"."
"Washington","10-14 years",".",3751,"."
,"15-17 years",7,2338,3.0
,"18-19 years",18,1311,13.7
,"20-24 years",149,3053,48.8
,"25-29 years",177,2930,60.4
,"30-34 years",149,3477,42.9
,"35-39 years",63,3462,18.2
,"40-44 years",18,3434,5.2
"Washita","15-17 years",".",468,"."
,"18-19 years",6,250,24.0
,"20-24 years",31,522,59.4
,"25-29 years",21,538,39.0
,"30-34 years",23,663,34.7
,"35-39 years",".",698,"."
,"40-44 years",".",728,"."
"Woods","15-17 years",".",305,"."
,"18-19 years",5,488,10.2
,"20-24 years",13,1020,12.7
,"25-29 years",32,488,65.6
,"30-34 years",25,565,44.2
,"35-39 years",9,531,16.9
,"40-44 years",".",480,"."
"Woodward","15-17 years",7,876,8.0
,"18-19 years",19,432,44.0
,"20-24 years",71,1217,58.3
,"25-29 years",74,1274,58.1
,"30-34 years",37,1359,27.2
,"35-39 years",12,1320,9.1
,"40-44 years",".",1423,"."

Year 2024
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",".",".","."
,"20-24 years",8,".","."
,"25-29 years",10,".","."
,"30-34 years",5,".","."
,"35-39 years",".",".","."
,"40-44 years",".",".","."
"Adair","15-17 years",5,930,5.4
,"18-19 years",21,481,43.7
,"20-24 years",98,1197,81.9
,"25-29 years",86,1225,70.2
,"30-34 years",58,1208,48.0
,"35-39 years",15,1140,13.2
,"40-44 years",9,1234,7.3
"Alfalfa","18-19 years",".",85,"."
,"20-24 years",8,196,40.8
,"25-29 years",16,294,54.4
,"30-34 years",12,315,38.1
,"35-39 years",".",510,"."
,"40-44 years",".",523,"."
"Atoka","15-17 years",".",551,"."
,"18-19 years",7,267,26.2
,"20-24 years",50,864,57.9
,"25-29 years",51,1033,49.4
,"30-34 years",19,1105,17.2
,"35-39 years",12,1039,11.5
,"40-44 years",".",950,"."
,"Unknown Age",".",".","."
"Beaver","18-19 years",".",141,"."
,"20-24 years",9,287,31.4
,"25-29 years",17,281,60.5
,"30-34 years",15,291,51.5
,"35-39 years",".",278,"."
,"40-44 years",".",305,"."
,"Unknown Age",".",".","."
"Beckham","15-17 years",".",937,"."
,"18-19 years",11,513,21.4
,"20-24 years",69,1531,45.1
,"25-29 years",70,1543,45.4
,"30-34 years",38,1665,22.8
,"35-39 years",23,1627,14.1
,"40-44 years",".",1578,"."
,"45-54 years",".",2609,"."
"Blaine","18-19 years",12,205,58.5
,"20-24 years",25,453,55.2
,"25-29 years",22,470,46.8
,"30-34 years",18,505,35.6
,"35-39 years",8,481,16.6
,"40-44 years",".",521,"."
"Bryan","15-17 years",10,2014,5.0
,"18-19 years",39,1257,31.0
,"20-24 years",192,3366,57.0
,"25-29 years",214,3461,61.8
,"30-34 years",148,3623,40.9
,"35-39 years",43,3551,12.1
,"40-44 years",9,3165,2.8
"Caddo","10-14 years",".",1780,"."
,"15-17 years",5,1047,4.8
,"18-19 years",20,555,36.0
,"20-24 years",92,1802,51.1
,"25-29 years",81,2066,39.2
,"30-34 years",63,2055,30.7
,"35-39 years",27,1873,14.4
,"40-44 years",".",1835,"."
"Canadian","15-17 years",17,8190,2.1
,"18-19 years",51,4004,12.7
,"20-24 years",355,10122,35.1
,"25-29 years",819,12715,64.4
,"30-34 years",686,14446,47.5
,"35-39 years",277,14783,18.7
,"40-44 years",55,14040,3.9
,"45-54 years",".",21767,"."
"Carter","10-14 years",".",3315,"."
,"15-17 years",14,2175,6.4
,"18-19 years",34,1108,30.7
,"20-24 years",169,3002,56.3
,"25-29 years",184,3057,60.2
,"30-34 years",132,3352,39.4
,"35-39 years",57,3099,18.4
,"40-44 years",16,3108,5.1
"Cherokee","15-17 years",14,1829,7.7
,"18-19 years",29,1690,17.2
,"20-24 years",165,5028,32.8
,"25-29 years",169,3244,52.1
,"30-34 years",102,2996,34.0
,"35-39 years",47,2741,17.1
,"40-44 years",7,3023,2.3
"Choctaw","15-17 years",".",600,"."
,"18-19 years",7,315,22.2
,"20-24 years",55,801,68.7
,"25-29 years",49,785,62.4
,"30-34 years",40,851,47.0
,"35-39 years",8,763,10.5
,"40-44 years",".",766,"."
"Cimarron","20-24 years",5,94,53.2
,"25-29 years",".",87,"."
,"30-34 years",8,101,79.2
"Cleveland","10-14 years",".",17862,"."
,"15-17 years",33,11985,2.8
,"18-19 years",73,12266,6.0
,"20-24 years",590,33361,17.7
,"25-29 years",809,21820,37.1
,"30-34 years",728,20290,35.9
,"35-39 years",344,19786,17.4
,"40-44 years",65,21449,3.0
,"45-54 years",6,34589,0.2
"Coal","15-17 years",".",218,"."
,"18-19 years",5,138,36.2
,"20-24 years",17,341,49.9
,"25-29 years",18,341,52.8
,"30-34 years",13,325,40.0
,"35-39 years",6,283,21.2
,"40-44 years",".",278,"."
"Comanche","10-14 years",".",7993,"."
,"15-17 years",18,4711,3.8
,"18-19 years",77,3878,19.9
,"20-24 years",449,9816,45.7
,"25-29 years",490,9405,52.1
,"30-34 years",358,9786,36.6
,"35-39 years",136,8595,15.8
,"40-44 years",34,8094,4.2
,"Unknown Age",".",".","."
"Cotton","15-17 years",".",258,"."
,"18-19 years",".",118,"."
,"20-24 years",20,284,70.4
,"25-29 years",13,298,43.6
,"30-34 years",14,321,43.6
,"35-39 years",".",280,"."
,"40-44 years",".",351,"."
"Craig","15-17 years",".",622,"."
,"18-19 years",10,277,36.1
,"20-24 years",49,836,58.6
,"25-29 years",49,886,55.3
,"30-34 years",34,903,37.7
,"35-39 years",12,911,13.2
,"40-44 years",".",883,"."
"Creek","15-17 years",10,3182,3.1
,"18-19 years",45,1586,28.4
,"20-24 years",228,4205,54.2
,"25-29 years",288,4336,66.4
,"30-34 years",183,4823,37.9
,"35-39 years",79,4578,17.3
,"40-44 years",16,4726,3.4
,"45-54 years",".",8827,"."
"Custer","10-14 years",".",2031,"."
,"15-17 years",7,1236,5.7
,"18-19 years",20,1164,17.2
,"20-24 years",90,3487,25.8
,"25-29 years",119,1839,64.7
,"30-34 years",65,1612,40.3
,"35-39 years",25,1587,15.8
,"40-44 years",10,1794,5.6
,"45-54 years",".",2733,"."
"Delaware","10-14 years",".",2356,"."
,"15-17 years",6,1577,3.8
,"18-19 years",12,830,14.5
,"20-24 years",118,2035,58.0
,"25-29 years",112,2116,52.9
,"30-34 years",73,2278,32.0
,"35-39 years",34,2224,15.3
,"40-44 years",6,2180,2.8
"Dewey","18-19 years",".",105,"."
,"20-24 years",8,236,33.9
,"25-29 years",21,202,104.0
,"30-34 years",10,265,37.7
,"35-39 years",".",235,"."
"Ellis","20-24 years",7,180,38.9
,"25-29 years",12,216,55.6
,"30-34 years",9,191,47.1
,"35-39 years",".",157,"."
,"40-44 years",".",211,"."
"Garfield","15-17 years",5,2961,1.7
,"18-19 years",44,1622,27.1
,"20-24 years",179,4009,44.6
,"25-29 years",242,4100,59.0
,"30-34 years",201,4127,48.7
,"35-39 years",62,4075,15.2
,"40-44 years",15,4218,3.6
"Garvin","15-17 years",".",1293,"."
,"18-19 years",22,595,37.0
,"20-24 years",104,1528,68.1
,"25-29 years",94,1522,61.8
,"30-34 years",50,1701,29.4
,"35-39 years",22,1551,14.2
,"40-44 years",8,1782,4.5
,"45-54 years",".",3134,"."
"Grady","15-17 years",8,2709,3.0
,"18-19 years",36,1566,23.0
,"20-24 years",160,3637,44.0
,"25-29 years",189,3347,56.5
,"30-34 years",147,3477,42.3
,"35-39 years",62,3753,16.5
,"40-44 years",9,4245,2.1
,"45-54 years",".",7289,"."
"Grant","15-17 years",".",204,"."
,"18-19 years",".",95,"."
,"20-24 years",15,186,80.6
,"25-29 years",13,191,68.1
,"30-34 years",".",220,"."
,"35-39 years",6,237,25.3
,"40-44 years",".",266,"."
"Greer","20-24 years",17,377,45.1
,"25-29 years",15,387,38.8
,"30-34 years",16,391,40.9
,"35-39 years",5,408,12.3
,"40-44 years",".",389,"."
"Harmon","18-19 years",".",73,"."
,"20-24 years",12,135,88.9
,"25-29 years",12,121,99.2
,"30-34 years",7,111,63.1
,"35-39 years",".",115,"."
"Harper","18-19 years",".",74,"."
,"20-24 years",7,150,46.7
,"25-29 years",11,132,83.3
,"30-34 years",11,209,52.6
,"35-39 years",".",172,"."
,"40-44 years",".",259,"."
"Haskell","15-17 years",".",521,"."
,"18-19 years",11,260,42.3
,"20-24 years",56,650,86.2
,"25-29 years",50,665,75.2
,"30-34 years",23,721,31.9
,"35-39 years",11,675,16.3
,"40-44 years",".",778,"."
"Hughes","15-17 years",5,477,10.5
,"18-19 years",14,284,49.3
,"20-24 years",38,817,46.5
,"25-29 years",36,996,36.1
,"30-34 years",29,1048,27.7
,"35-39 years",9,872,10.3
,"40-44 years",".",857,"."
,"Unknown Age",".",".","."
"Jackson","15-17 years",7,1011,6.9
,"18-19 years",16,580,27.6
,"20-24 years",96,1954,49.1
,"25-29 years",127,1758,72.2
,"30-34 years",75,1790,41.9
,"35-39 years",24,1748,13.7
,"40-44 years",".",1462,"."
"Jefferson","15-17 years",".",255,"."
,"18-19 years",6,136,44.1
,"20-24 years",23,266,86.5
,"25-29 years",17,287,59.2
,"30-34 years",13,300,43.3
,"35-39 years",5,355,14.1
"Johnston","15-17 years",".",458,"."
,"18-19 years",12,442,27.1
,"20-24 years",27,681,39.6
,"25-29 years",29,557,52.1
,"30-34 years",26,630,41.3
,"35-39 years",8,641,12.5
,"40-44 years",".",586,"."
"Kay","10-14 years",".",3169,"."
,"15-17 years",10,1918,5.2
,"18-19 years",42,1190,35.3
,"20-24 years",156,2694,57.9
,"25-29 years",151,2583,58.5
,"30-34 years",101,2841,35.6
,"35-39 years",29,2459,11.8
,"40-44 years",8,2677,3.0
,"Unknown Age",".",".","."
"Kingfisher","15-17 years",5,820,6.1
,"18-19 years",7,402,17.4
,"20-24 years",41,974,42.1
,"25-29 years",68,877,77.5
,"30-34 years",41,1048,39.1
,"35-39 years",20,963,20.8
,"40-44 years",5,1078,4.6
"Kiowa","15-17 years",".",369,"."
,"18-19 years",8,189,42.3
,"20-24 years",27,426,63.4
,"25-29 years",25,411,60.8
,"30-34 years",18,494,36.4
,"35-39 years",13,456,28.5
,"40-44 years",".",486,"."
,"45-54 years",".",923,"."
"Latimer","15-17 years",".",364,"."
,"18-19 years",6,277,21.7
,"20-24 years",26,561,46.3
,"25-29 years",41,527,77.8
,"30-34 years",27,539,50.1
,"35-39 years",9,493,18.3
,"40-44 years",".",596,"."
"Le Flore","10-14 years",".",3521,"."
,"15-17 years",15,2230,6.7
,"18-19 years",46,1249,36.8
,"20-24 years",192,2972,64.6
,"25-29 years",195,3035,64.3
,"30-34 years",123,3183,38.6
,"35-39 years",53,3038,17.4
